time,open,high,low,close,volume,pe_ratio
2024-02-01 13:00:00+07:00,47.48,52.48,46.66,52.1,4483.0,35.67265718077991
2024-03-01 13:00:00+07:00,52.24,58.68,51.8,55.1,8211.0,37.72674492631426
2024-04-02 12:00:00+07:00,54.9,54.9,50.42,51.84,3447.0,35.4946362428336
2024-05-02 12:00:00+07:00,51.4,58.84,51.4,54.8,2547.0,37.52133615176082
2024-06-03 12:00:00+07:00,55.26,59.74,53.94,57.02,2435.0,39.041361083456245
2024-07-01 12:00:00+07:00,57.76,59.14,55.26,59.04,1738.0,40.42444683211604
2024-08-01 12:00:00+07:00,59.0,63.02,55.46,62.64,2411.0,42.88935212675726
2024-09-02 12:00:00+07:00,62.64,64.92,60.3,64.82,1541.0,44.38198922184555
2024-10-01 12:00:00+07:00,64.56,64.88,57.04,57.64,2594.0,39.46587255086668
2024-11-01 13:00:00+07:00,57.56,58.08,51.86,55.38,2998.0,37.918459782564135
2024-12-02 13:00:00+07:00,55.08,56.4,53.66,54.92,999.0,83.57512978835695
2025-01-02 13:00:00+07:00,54.56,55.7,52.5,54.98,1355.0,83.66643546547459
2025-02-03 13:00:00+07:00,53.76,58.06,53.0,58.06,2380.0,88.35346022418071
2025-03-03 13:00:00+07:00,58.52,59.26,52.66,53.9,1929.0,82.02293327735687
2025-04-01 12:00:00+07:00,54.02,56.3,49.73,56.06,2936.0,85.30993765359233
